Training_MSE,Training_MAPE
27224.609375,0.036610692739486694
75556.921875,0.057856880128383636
20647.85546875,0.031847015023231506
77527.734375,0.06406974047422409
38016.4765625,0.0425306037068367
34351.73828125,0.0437345877289772
20120.681640625,0.03425959125161171
35844.34375,0.04198434203863144
15793.30859375,0.03353302925825119
43386.74609375,0.04496409744024277
21429.314453125,0.03488081321120262
64164.7578125,0.06174730882048607
51982.78125,0.0535343661904335
26115.208984375,0.0438397079706192
34834.265625,0.035784222185611725
6532.98193359375,0.01991685852408409
28117.88671875,0.042181577533483505
17847.490234375,0.032560110092163086
32630.60546875,0.04456206411123276
17192.66015625,0.02666325867176056
37159.25,0.04955672845244408
29892.640625,0.054997146129608154
15862.7216796875,0.03172764182090759
7333.533203125,0.021516874432563782
24889.50390625,0.036295998841524124
33036.50390625,0.043106138706207275
18438.705078125,0.03398698568344116
4995.373046875,0.017683157697319984
16301.49609375,0.03675248846411705
15806.419921875,0.0362587571144104
38760.9921875,0.043810512870550156
17812.271484375,0.04306728392839432
37364.7890625,0.052609674632549286
35235.96875,0.05693550407886505
26387.9375,0.048177193850278854
23263.4140625,0.046515535563230515
24961.0,0.04554605484008789
14403.068359375,0.03484952449798584
18964.6171875,0.039922162890434265
23079.8125,0.04052692651748657
25995.333984375,0.04485539719462395
24134.943359375,0.0496942475438118
18474.376953125,0.04370371624827385
54192.2578125,0.0618843212723732
18043.08984375,0.034390684217214584
27860.203125,0.04320606589317322
30112.17578125,0.04450208693742752
22156.4296875,0.03982905298471451
29488.771484375,0.05947091802954674
18073.796875,0.039549846202135086
18358.578125,0.032866861671209335
21512.529296875,0.04127481207251549
25970.546875,0.039944298565387726
25449.375,0.039469748735427856
6618.23193359375,0.023746658116579056
22169.65234375,0.044850897043943405
17295.392578125,0.038313671946525574
11979.4443359375,0.03134983405470848
24011.185546875,0.038187362253665924
47420.9765625,0.05738089606165886
34304.57421875,0.044784367084503174
27507.076171875,0.04994647204875946
12653.5390625,0.035674870014190674
25929.521484375,0.04698316380381584
21068.71875,0.0363934263586998
16997.0703125,0.03319471329450607
91423.0234375,0.05175250396132469
94375.125,0.05835589021444321
100778.546875,0.07231719046831131
41915.76953125,0.06995310634374619
58187.046875,0.07689966261386871
36671.33984375,0.04671429097652435
27793.96484375,0.03710603713989258
59951.421875,0.07264293730258942
38861.578125,0.05629701912403107
17832.892578125,0.04017777368426323
15248.0458984375,0.04569419473409653
49855.54296875,0.06268970668315887
10566.421875,0.029099708423018456
43823.5625,0.06550122797489166
12377.80078125,0.028052303940057755
